t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
248,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
252,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
256,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
260,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
264,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
268,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
272,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
276,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
280,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
284,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
288,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
292,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
296,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
300,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
304,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
308,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
312,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
316,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
320,1.000000,308,4,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0
324,1.000000,308,7,0.000000,0.000000,0.000000,0.000000,1.000000,0.986207,0.000000,0.000000,1.000000,0.000000,0.000000,0
328,1.000000,308,10,0.000000,0.000000,0.000000,0.000000,1.000000,0.972414,0.000000,0.000000,1.000000,0.000000,0.000000,0
332,1.000000,308,14,0.000000,0.000000,0.000000,0.000000,1.000000,0.958621,0.000000,0.000000,1.000000,0.000000,0.000000,0
336,1.000000,308,17,0.000000,0.000000,0.000000,0.000000,1.000000,0.944828,0.000000,0.000000,1.000000,0.000000,0.000000,0
340,1.000000,308,19,0.000000,0.000000,0.000000,0.000000,1.000000,0.931034,0.000000,0.000000,1.000000,0.000000,0.000000,0
344,1.000000,308,22,0.000000,0.000000,0.000000,0.000000,1.000000,0.917241,0.000000,0.000000,1.000000,0.000000,0.000000,0
348,1.000000,308,25,0.000000,0.000000,0.000000,0.000000,1.000000,0.903448,0.000000,0.000000,1.000000,0.000000,0.000000,0
352,1.000000,308,28,0.000000,0.000000,0.000000,0.000000,1.000000,0.889655,0.000000,0.000000,1.000000,0.000000,0.000000,0
356,1.000000,308,30,0.000000,0.000000,0.000000,0.000000,1.000000,0.875862,0.000000,0.000000,1.000000,0.000000,0.000000,0
360,1.000000,308,32,0.000000,0.000000,0.000000,0.000000,1.000000,0.862069,0.000000,0.000000,1.000000,0.000000,0.000000,0
364,1.000000,308,35,0.000000,0.000000,0.000000,0.000000,1.000000,0.848276,0.000000,0.000000,1.000000,0.000000,0.000000,0
368,1.000000,308,37,0.000000,0.000000,0.000000,0.000000,1.000000,0.834483,0.000000,0.000000,1.000000,0.000000,0.000000,0
372,1.000000,308,39,0.000000,0.000000,0.000000,0.000000,1.000000,0.820690,0.000000,0.000000,1.000000,0.000000,0.000000,0
376,1.000000,308,41,0.000000,0.000000,0.000000,0.000000,1.000000,0.806897,0.000000,0.000000,1.000000,0.000000,0.000000,0
380,1.000000,308,43,0.000000,0.000000,0.000000,0.000000,1.000000,0.793103,0.000000,0.000000,1.000000,0.000000,0.000000,0
384,1.000000,308,45,0.000000,0.000000,0.000000,0.000000,1.000000,0.779310,0.000000,0.000000,1.000000,0.000000,0.000000,0
388,1.000000,308,47,0.000000,0.000000,0.000000,0.000000,1.000000,0.765517,0.000000,0.000000,1.000000,0.000000,0.000000,0
